,0
225,-1.3612939
226,-1.9555303
227,0.6277092
228,-2.3474712
229,-1.3396239
230,-0.6997992
231,-0.91883224
232,-1.175454
233,-1.6634945
234,-1.5775052
235,0.17808676
236,-1.4378986
237,-1.757851
238,-2.808249
239,-1.8040179
240,-2.2512324
241,-1.3165051
242,-2.2139356
243,-2.0632567
244,-4.806262
245,-4.7201333
246,-4.1398873
247,-2.086348
248,-2.0374966
249,-1.3718778
250,-1.8102715
251,-3.2623885
252,-2.3767514
253,-2.6086407
254,-4.043099
255,-1.5625895
256,-2.8237536
257,-0.86120343
258,-1.9497297
259,-3.2299454
260,-1.556543
261,-2.3305182
262,-1.9003457
263,-4.4646664
264,-3.2479358
265,-2.3647733
266,-3.581821
267,-1.9462193
268,-0.56496316
269,-0.55254936
270,-1.3102036
271,-1.996717
272,-1.2886671
273,-2.2567632
274,-0.39544988
275,0.11003736
276,1.6284093
277,1.0741681
278,1.9075766
279,1.9548157
280,0.5415832
281,1.3766168
282,-0.30745435
283,-0.41210595
284,-0.93484145
285,-0.049994797
286,0.18652682
287,-1.2873311
288,-2.062593
289,-1.0225534
290,-1.2083027
291,-3.3879287
292,2.2545516
293,2.8059278
294,0.8806603
295,3.399693
296,2.0153928
297,0.48403317
298,0.42396665
299,-2.1749387
300,-2.0036006
301,-2.2762766
302,-0.2653378
303,-1.0979717
304,-1.893777
305,-0.41442806
306,-0.23533843
307,0.05232132
308,1.3626149
309,2.3865654
310,2.4489458
311,2.1000166
312,0.079073206
313,-0.41260484
314,-0.033422645
315,0.34448212
316,-0.4684705
317,0.22308
318,-0.1957036
319,2.0793092
320,1.1719183
321,0.12304477
322,1.4809254
323,0.883077
324,0.6117182
325,0.665394
326,-0.45066956
327,-1.5777577
328,0.42093435
329,1.729466
330,0.20584214
331,1.2562023
332,1.1899881
333,-0.97548354
334,-1.6384683
335,-1.9986455
336,-1.6107746
337,-1.5046757
338,-2.4235413
339,-1.5819933
340,-2.9128041
341,0.14893945
342,-0.09482661
343,-1.462582
344,-2.4070265
345,-0.04855861
346,-3.0222583
347,-2.576249
348,-1.7919743
349,-3.8675342
350,-3.6170833
351,-3.092954
352,-0.5540617
353,1.3147985
354,0.4201352
355,-0.34905535
356,-0.40462247
357,-1.6822982
358,-0.9816566
359,-1.7048173
360,0.93532497
361,-0.29382512
362,0.55558926
363,-0.18548778
364,-1.2157571
365,0.3375977
366,0.80800533
367,3.9695523
368,5.6322627
369,5.4880867
370,5.303344
371,3.9266598
372,3.4367282
373,2.6456063
374,4.2757807
375,4.867065
376,4.404795
377,2.449918
378,0.9690841
379,-0.6737102
380,-1.7091441
381,-1.6316745
382,-2.0313606
